Date,Sector,Universe Gross Sales EUR M,Universe Net Sales EUR M
01/04/2010,Sector_22,2018.042507,1744.845488
01/04/2010,Sector_23,9.17021754,8.32323926
01/04/2010,Sector_24,72.99347863,7.810064
01/04/2010,Sector_25,376.7228379,206.6307226
01/04/2010,Sector_26,0.07872588,-0.15673994
01/04/2010,Sector_27,1159.588803,831.4765176
01/04/2010,Sector_28,62.75250376,14.03206371
01/04/2010,Sector_29,8.0929022,0.44652338
01/04/2010,Sector_31,183.9507778,78.90146269
01/04/2010,Sector_32,3779.488642,2810.049635
01/04/2010,Sector_33,1730.732407,1123.206347
01/04/2010,Sector_34,2.32103706,-2.20736098
01/04/2010,Sector_35,0.10635497,-1.58079003
01/04/2010,Sector_38,220.3378435,130.7322701
01/04/2010,Sector_39,4.62624577,2.27354039
01/04/2010,Sector_40,13.17257513,5.46180707
01/04/2010,Sector_41,38.5189969,-26.54939248
01/04/2010,Sector_42,11.17670141,10.34689688
01/04/2010,Sector_44,0.89199298,0.35671835
01/04/2010,Sector_45,0,0
01/04/2010,Sector_46,3.44039955,2.74852369
01/04/2010,Sector_47,2.1708644,-1.95293397
01/04/2010,Sector_49,0.94721185,0.01435337
01/04/2010,Sector_50,0.09771807,0.02854534
01/04/2010,Sector_51,1.56785806,1.5567452
01/04/2010,Sector_52,0,99.53603503
01/04/2010,Sector_53,0.23764634,-20.19224816
01/04/2010,Sector_54,0.15918621,-0.67614537
01/04/2010,Sector_55,736.5282138,327.9121855
01/04/2010,Sector_56,629.6256884,423.8018888
01/04/2010,Sector_57,25.43565282,-11.27896608
01/04/2010,Sector_59,257.4694892,161.8822259
01/04/2010,Sector_61,143.6361063,-82.92095268
01/04/2010,Sector_62,637.9050219,-118.128687
01/04/2010,Sector_63,24.39674683,-5.61674506
01/04/2010,Sector_64,62.43437556,48.40955988
01/04/2010,Sector_65,174.7838953,-37.56345804
01/04/2010,Sector_66,138.3441522,-134.3129067
01/04/2010,Sector_67,0.96858389,0.82015689
01/04/2010,Sector_68,77.53851596,-16.08910367
01/04/2010,Sector_70,322.6075926,12.64291367
01/04/2010,Sector_71,0.53270312,0.40091566
01/04/2010,Sector_72,0.06650898,-0.08289795
01/04/2010,Sector_73,386.6935551,-153.5060126
01/04/2010,Sector_75,522.0246963,110.941746
01/04/2010,Sector_76,468.6544717,-45.80726639
01/04/2010,Sector_77,0.02904931,-85.63017717
01/04/2010,Sector_79,1.5566446,1.47007833
01/04/2010,Sector_80,1275.334991,219.043413
01/04/2010,Sector_81,66.81086355,29.33298433
01/04/2010,Sector_82,271.9968242,-173.1780524
01/04/2010,Sector_83,20.03047963,16.5023812
01/04/2010,Sector_84,1556.74459,-147.0975215
01/04/2010,Sector_85,59.08403068,-75.96148336
01/04/2010,Sector_86,62.91098741,-36.29406886
01/04/2010,Sector_87,191.2098532,28.50586459
01/04/2010,Sector_88,0,0
01/04/2010,Sector_89,16.36762044,-16.6284461
01/04/2010,Sector_91,70.97952547,68.66797284
01/04/2010,Sector_92,42.74382453,33.62118966
01/04/2010,Sector_93,140.292039,14.63402667
01/04/2010,Sector_94,2.13673415,0.23221355
01/04/2010,Sector_95,1121.952805,214.5137266
